timestamp,longitude,latitude,external-temperature,gps:dop,gps:fix-type,altitude,tag-voltage
2010-03-06 01:01:54,-111.45045439976654,56.8155520006877,9.0,2.2,3,312.33,3360.0
2010-03-06 04:01:24,-111.44965700025456,56.81465840077996,4.0,2.2,3,311.69,3280.0
2010-03-06 07:00:37,-111.4491507995804,56.81449060065494,2.0,2.4,3,311.96,3360.0
2010-03-06 10:00:43,-111.44910730080552,56.8145631006589,1.0,4.8,3,306.69,3360.0
2010-03-06 13:01:24,-111.44988229943608,56.81427020099866,2.0,2.6,3,306.51,3280.0
2010-03-06 16:01:53,-111.44934570056544,56.81426520098262,4.0,2.4,3,333.16,3280.0
2010-03-06 19:00:44,-111.4508744995934,56.81456000090873,12.0,3.2,3,318.86,3360.0
2010-03-06 22:03:02,-111.45071450052342,56.81476090102584,14.0,2.0,2,318.57,3360.0
2010-03-07 01:01:18,-111.44909969936616,56.81431870123002,9.0,2.6,3,292.22,3360.0
2010-03-07 04:01:13,-111.43485240032682,56.815507800398265,4.0,5.2,3,229.52,3360.0
2010-03-07 07:01:23,-111.44134390022867,56.81581330108138,5.0,3.4,3,281.35,3360.0
2010-03-07 10:01:11,-111.44696509951868,56.81554620040197,2.0,3.2,3,278.1,3280.0
2010-03-07 13:00:54,-111.44713929932875,56.81535960063064,2.0,2.6,3,316.78,3360.0
2010-03-07 16:01:18,-111.44777439919945,56.81567230102084,3.0,2.8,3,309.54,3280.0
2010-03-07 19:00:42,-111.44781030016762,56.815733901267,9.0,2.4,3,309.83,3360.0
2010-03-07 22:01:18,-111.44737600008862,56.81536500079304,15.0,4.4,3,310.41,3360.0
2010-03-08 01:02:11,-111.44690080022868,56.81706800067114,10.0,5.8,3,310.65,3360.0
2010-03-08 04:00:53,-111.44358830054198,56.81758240087533,6.0,2.6,3,319.79,3360.0
2010-03-08 07:00:53,-111.44240429996812,56.81834170052304,5.0,3.6,3,320.65,3360.0
2010-03-08 10:01:42,-111.44271020056532,56.81845650061805,4.0,2.4,3,318.27,3280.0
2010-03-08 13:00:43,-111.443135299622,56.81848130062465,5.0,5.0,3,311.68,3360.0
2010-03-08 16:00:47,-111.44324739936316,56.81851940116426,6.0,2.0,3,311.3,3360.0
2010-03-08 19:00:47,-111.44287749936832,56.8171790006766,9.0,2.8,3,318.1,3360.0
2010-03-08 22:01:23,-111.4426077003273,56.81619700101649,8.0,3.8,3,327.49,3360.0
2010-03-09 01:00:47,-111.44069389957691,56.81652930064147,6.0,3.4,3,308.06,3360.0
2010-03-09 04:00:50,-111.43674200008954,56.82331150128013,2.0,2.6,3,251.5,3360.0
2010-03-09 07:01:22,-111.43937909966664,56.82261020113541,2.0,3.2,3,247.6,3280.0
2010-03-09 10:01:24,-111.44258299984388,56.82084800066383,0.0,3.2,3,246.87,3280.0
2010-03-09 13:00:45,-111.4429484004434,56.82057670117924,2.0,2.2,3,316.81,3360.0
2010-03-09 16:00:50,-111.44279130024296,56.81886490126712,2.0,1.8,3,314.81,3280.0
2010-03-09 19:00:24,-111.4431135005386,56.81880750105472,7.0,2.0,3,303.46,3360.0
2010-03-09 22:00:54,-111.44274889970664,56.81852220067574,13.0,3.2,3,313.48,3360.0
